11111,11111
0,0
82615,82624
107109,119071
107058,118991
106995,118978
107144,119099
107152,119084
107096,119031
107035,118904
107033,118938
107085,119069
107085,118989
107031,118937
106885,118896
106774,118794
106789,118839
106591,118756
106344,118564
106097,118400
105893,118299
105791,118299
105603,118154
105442,118041
105244,117955
105090,117865
105094,117872
105048,117860
104958,117773
104815,117677
104746,117699
104784,117683
104823,117723
104717,117675
104583,117554
104640,117588
104669,117685
104671,117641
104645,117644
104611,117612
104625,117638
104739,117659
104779,117742
104721,117712
104681,117644
104753,117673
104890,117806
104919,117839
104889,117779
104916,117740
104989,117813
105121,117891
105127,117934
105148,117901
105102,117863
105177,117938
105283,118014
105273,118011
105283,118028
105206,117913
105361,118010
105416,118132
105399,118088
105438,118081
105335,117989
105464,118083
105550,118189
105539,118165
105529,118136
105483,118079
105572,118150
105674,118266
105639,118225
105620,118161
105500,118078
105629,118168
105652,118246
105593,118164
105552,118115
105408,118050
105495,118112
105476,118123
105413,118023
105379,118051
105219,117907
105300,117961
105333,118004
105269,117984
105215,117924
105150,117879
105179,117929
105259,117972
105174,117925
105195,117924
105080,117844
105191,117954
105251,118000
105204,117930
105193,117913
105116,117846
105251,117927
105303,118051
105270,117965
105273,117935
105201,117928
105343,118008
105402,118051
105374,118007
105404,118040
105330,117964
105449,118105
105573,118167
105484,118109
105520,118077
105510,118071
105596,118177
105688,118251
105674,118191
105702,118162
105669,118171
105773,118257
105880,118328
105862,118283
105832,118319
105843,118299
106006,118355
106478,118649
106600,118591
106581,118651
106622,118714
104162,117281
104037,117212
104091,117262
104178,117323
104743,117645
104640,117625
104606,117514
104760,117646
104815,117691
104905,117760
104916,117750
104845,117698
104790,117603
104682,117581
104723,117612
104765,117664
104684,117587
104583,117502
104508,117443
104554,117551
104544,117536
104524,117475
104406,117431
104355,117371
104418,117455
104477,117459
104419,117454
104327,117353
104276,117351
104350,117425
104437,117440
104413,117410
104313,117362
104290,117335
104393,117445
104439,117478
104452,117428
104364,117372
104349,117383
104500,117497
104566,117492
104526,117522
104472,117461
104482,117425
104618,117573
104653,117585
104604,117544
104565,117491
104602,117499
104744,117597
104761,117643
104768,117582
104708,117527
104754,117597
104836,117668
104917,117727
104933,117676
104842,117650
104924,117701
105011,117766
105077,117797
105087,117748
105038,117742
105113,117804
105189,117876
105224,117899
105250,117851
105190,117831
105216,117849
105350,117948
105361,117967
105325,117918
105315,117874
105337,117950
105392,117990
105419,117981
105406,117954
105322,117892
105402,117945
105483,118015
105473,118005
105446,117999
105373,117887
105424,117967
105541,118022
105494,118033
105441,117994
105368,117891
105460,117990
105514,118054
105541,118028
105466,118014
105398,117901
105511,118019
105624,118094
105587,118070
105556,118025
105500,117976
105583,118016
105689,118151
105660,118075
105679,118097
105651,118030
105698,118130
105766,118155
105794,118156
105789,118124
105712,118064
105778,118174
105857,118223
105860,118183
105822,118180
105752,118049
105764,118141
105788,118194
105654,118043
105478,117991
105233,117782
